id,value
id_0,26.5563626308
id_1,61.5659253971
id_2,20.4757610991
id_3,28.5303616667
id_4,10.3202719079
id_5,36.1822745247
id_6,39.4766658932
id_7,16.5574586278
id_8,47.8165240008
id_9,33.2873591642
id_10,38.8695622317
id_11,58.2892147234
id_12,36.5672854183
id_13,41.4140533124
id_14,26.612024231
id_15,12.6982001635
id_16,52.6867231156
id_17,22.4949138581
id_18,19.4196803015
id_19,19.7474679849
id_20,14.9605427286
id_21,28.3550017707
id_22,36.7724771409
id_23,9.3881313865
id_24,57.8927201937
id_25,44.2569784065
id_26,28.3812312558
id_27,9.39389926866
id_28,29.0921357067
id_29,35.632054599
id_30,18.5078082249
id_31,11.8218479666
id_32,16.7353920237
id_33,6.47935363326
id_34,18.2052194676
id_35,39.1941980955
id_36,19.6894441549
id_37,28.4509026833
id_38,6.67247722294
id_39,59.7610769648
id_40,47.2653205717
id_41,16.7441169081
id_42,49.4893902215
id_43,18.2090736753
id_44,43.7929255709
id_45,51.1574764083
id_46,61.1247663871
id_47,39.9690886159
id_48,51.084546937
id_49,41.5786025462
id_50,30.2449069738
id_51,24.7512860952
id_52,40.6075695989
id_53,25.2378557038
id_54,38.3164143508
id_55,39.86459259
id_56,24.7032650442
id_57,21.9165716307
id_58,37.6373059274
id_59,31.1787804044
id_60,15.6156447677
id_61,23.3696549579
id_62,31.4808164274
id_63,54.6993626546
id_64,48.7852190473
id_65,26.4862756931
id_66,40.8530766089
id_67,54.3869597825
id_68,27.8926592431
id_69,38.3532645789
id_70,64.5293700543
id_71,52.9338488973
id_72,43.4693446821
id_73,11.5071447943
id_74,12.1171965716
id_75,35.6311091121
id_76,60.2820430136
id_77,3.41569925542
id_78,44.249263749
id_79,40.0982976614
id_80,8.20578131289
id_81,22.3370679506
id_82,7.82606725503
id_83,33.7612949907
id_84,10.7987729384
id_85,5.66835000944
id_86,16.3189707679
id_87,12.0052858456
id_88,13.4674290542
id_89,28.0957142575
id_90,30.5201343306
id_91,11.4572934141
id_92,13.931923149
id_93,7.67817886793
id_94,36.5034980418
id_95,16.3013005822
id_96,15.6002987551
id_97,8.93083997306
id_98,10.9121252076
id_99,4.26113556018
id_100,13.0285691134
id_101,18.4969515823
id_102,11.361860165
id_103,5.57338059631
id_104,14.032774484
id_105,37.0898975148
id_106,27.7534149216
id_107,8.1061388394
id_108,16.6403573801
id_109,16.4335460957
id_110,14.3486077754
id_111,17.5543072139
id_112,13.3574172169
id_113,28.4848436632
id_114,22.0699416979
id_115,15.4231041225
id_116,9.1147574974
id_117,44.6227067204
id_118,29.4423939694
id_119,1.73634122764
id_120,2.1970513342
id_121,11.5248986895
id_122,15.7528549418
id_123,15.4670469371
id_124,6.80250280888
id_125,26.2921043636
id_126,21.2538871283
id_127,13.645428122
id_128,20.1021501907
id_129,18.2182615793
id_130,4.33708707397
id_131,36.203757339
id_132,14.233136327
id_133,26.4859858482
id_134,23.6591394344
id_135,20.7796865779
id_136,10.2207646323
id_137,19.834220004
id_138,77.4044493994
id_139,63.639613469
id_140,27.2061660534
id_141,17.2175265649
id_142,25.0258250834
id_143,8.34671199704
id_144,10.8080253647
id_145,10.6276551574
id_146,21.3847625058
id_147,7.64746530051
id_148,13.9831690308
id_149,17.0201504178
id_150,50.9922082698
id_151,21.7041715285
id_152,24.529199367
id_153,15.6579850056
id_154,14.7017553333
id_155,27.7325109485
id_156,21.8543398121
id_157,34.1640523895
id_158,3.68362026207
id_159,19.973988553
id_160,43.684150651
id_161,18.771599306
id_162,56.035927084
id_163,19.4413112518
id_164,36.6323804811
id_165,24.4547978853
id_166,21.8060706025
id_167,1.31260987507
id_168,66.0904113054
id_169,18.3798389068
id_170,17.6950782755
id_171,67.867808807
id_172,21.1714811715
id_173,2.56788382136
id_174,23.5102991894
id_175,2.55279546709
id_176,6.40030989875
id_177,18.8394909584
id_178,20.2715577099
id_179,21.1837830856
id_180,42.7347178538
id_181,27.3154659808
id_182,28.6821838381
id_183,12.5356535585
id_184,8.84473901123
id_185,41.2570307298
id_186,36.5798744636
id_187,33.1616803582
id_188,16.6050710541
id_189,21.7763334265
id_190,14.7688247995
id_191,14.9404885463
id_192,33.1361685202
id_193,77.2437491877
id_194,29.4304361217
id_195,11.6192920034
id_196,61.3468316276
id_197,15.1338682604
id_198,19.6945817037
id_199,23.5387739281
id_200,125.292691921
id_201,26.3555082262
id_202,57.9432022054
id_203,5.37615340155
id_204,62.5380500973
id_205,35.6235344214
id_206,17.1526758512
id_207,14.0313452455
id_208,64.2012760349
id_209,13.8591157114
id_210,28.2037846958
id_211,72.300013126
id_212,20.6241750349
id_213,115.87436419
id_214,39.9813806154
id_215,83.6786062031
id_216,92.6659396743
id_217,70.6676269287
id_218,28.890653054
id_219,18.893172612
id_220,31.8200662643
id_221,55.3406272929
id_222,28.7880524511
id_223,39.9669405013
id_224,43.6034443159
id_225,8.02573197192
id_226,4.00798090894
id_227,69.3978754566
id_228,28.3130277741
id_229,1.87602629005
id_230,40.4408710002
id_231,15.3741030077
id_232,21.8144145574
id_233,8.34423150836
id_234,11.910583178
id_235,22.0729067007
id_236,12.7310247392
id_237,0.419209613069
id_238,21.4081153415
id_239,1.00872841106
