id,value
id_0,25.5846592423
id_1,63.7564693587
id_2,19.4032231374
id_3,29.2137539632
id_4,8.87835955263
id_5,33.4609742024
id_6,40.8405153294
id_7,17.7014619801
id_8,51.652918647
id_9,32.8670972347
id_10,38.8355390553
id_11,58.170035375
id_12,34.7068361113
id_13,41.3300143598
id_14,27.2332376334
id_15,12.1511342166
id_16,51.0398917101
id_17,22.7428657805
id_18,17.4597263881
id_19,18.687106178
id_20,14.830419635
id_21,30.7457597301
id_22,37.9711162315
id_23,9.83807907208
id_24,61.1154906886
id_25,46.5789270443
id_26,26.8646684942
id_27,7.59031546272
id_28,28.6483940603
id_29,36.7208771956
id_30,18.3447773675
id_31,11.1988217731
id_32,16.5239488132
id_33,6.11455921044
id_34,16.5044848706
id_35,41.4471271243
id_36,20.6914344384
id_37,27.7674094412
id_38,10.382377932
id_39,58.3607756462
id_40,47.094461158
id_41,19.0565044877
id_42,53.0819656619
id_43,18.1778134267
id_44,44.3853880109
id_45,50.6735720695
id_46,57.5436122427
id_47,41.9485931004
id_48,55.3080470001
id_49,39.1093586267
id_50,29.2253190544
id_51,24.5564767162
id_52,39.5147635415
id_53,24.0953251137
id_54,37.9605851667
id_55,40.3270554414
id_56,24.1791665543
id_57,21.8622015315
id_58,37.2869251091
id_59,32.0264221746
id_60,14.3091056294
id_61,22.8376921266
id_62,32.4874995571
id_63,53.7709442017
id_64,50.8898904773
id_65,25.7073714885
id_66,38.0965405671
id_67,52.1211341095
id_68,28.4231742715
id_69,36.7727506301
id_70,65.7339899981
id_71,55.5101498838
id_72,42.5656490321
id_73,12.8814209724
id_74,12.3897373711
id_75,35.2776062563
id_76,61.7808482295
id_77,2.44362213777
id_78,42.8717276973
id_79,42.4689384192
id_80,8.8849890644
id_81,23.6299054937
id_82,5.7364612396
id_83,32.0956468022
id_84,8.22883072603
id_85,5.58869932837
id_86,17.4664437604
id_87,12.3482192866
id_88,18.3426237398
id_89,26.0824439399
id_90,35.4720725858
id_91,13.0435428098
id_92,12.9631803131
id_93,9.20295447093
id_94,38.695213329
id_95,15.16013994
id_96,17.1005209291
id_97,10.0041836314
id_98,11.7686447769
id_99,5.46748811424
id_100,10.2222689595
id_101,18.9932431496
id_102,12.0588792559
id_103,8.75759975828
id_104,13.0583270132
id_105,37.649756009
id_106,25.6722466655
id_107,7.44862082865
id_108,17.0921107327
id_109,15.8955670802
id_110,12.2366000994
id_111,17.1168160362
id_112,16.4089524303
id_113,27.2051937682
id_114,20.5815420988
id_115,17.3435727396
id_116,7.15147034187
id_117,45.0702140639
id_118,26.5394122067
id_119,1.19167997011
id_120,1.63715022734
id_121,10.8472593375
id_122,13.6174572592
id_123,13.8400259821
id_124,8.199975222
id_125,25.3210112466
id_126,21.7260796304
id_127,11.2855446612
id_128,21.0473811347
id_129,17.221938808
id_130,3.74413686668
id_131,33.2313372818
id_132,15.350581877
id_133,22.4571440169
id_134,26.8204880052
id_135,23.7328716357
id_136,10.1563336044
id_137,21.225950754
id_138,79.0143407741
id_139,61.7301860337
id_140,26.6645762767
id_141,19.2376746909
id_142,24.6222903948
id_143,7.6412710828
id_144,12.2947099505
id_145,10.4144722002
id_146,18.0785517325
id_147,7.88173293442
id_148,12.5012778757
id_149,14.8636342916
id_150,47.6504167221
id_151,21.6304582611
id_152,22.8432957889
id_153,13.6713280252
id_154,14.449458762
id_155,24.2578861019
id_156,25.8809948721
id_157,37.4458383449
id_158,4.45881505492
id_159,23.1732325215
id_160,44.3458030103
id_161,19.2738286562
id_162,64.545029718
id_163,17.5965636871
id_164,34.1061136513
id_165,24.162037804
id_166,22.6113824532
id_167,1.8468697416
id_168,67.4190983988
id_169,16.9077304306
id_170,16.463007815
id_171,71.7254642243
id_172,21.9063623444
id_173,1.94981825524
id_174,22.8070817818
id_175,2.2419906809
id_176,6.8943649299
id_177,17.7303595122
id_178,20.1672173494
id_179,24.1403977742
id_180,42.9810763938
id_181,31.7143233752
id_182,27.2240774292
id_183,12.3961973793
id_184,6.71551962848
id_185,41.8522111018
id_186,35.525450102
id_187,35.3303046106
id_188,16.1065639542
id_189,22.875412578
id_190,13.5863847278
id_191,16.0642439317
id_192,31.4256278006
id_193,73.5688269292
id_194,29.9083608834
id_195,11.9592715048
id_196,63.4051003303
id_197,16.3197952048
id_198,19.1049091858
id_199,19.7153470242
id_200,124.531755868
id_201,24.5090778424
id_202,58.2939381978
id_203,6.24364219256
id_204,60.7824768609
id_205,35.1289698896
id_206,14.9023774651
id_207,13.2558662113
id_208,62.5168893201
id_209,15.9455342206
id_210,34.8743990717
id_211,69.6676479987
id_212,18.8526203786
id_213,115.311311325
id_214,41.7297186695
id_215,79.2798573825
id_216,93.3090179899
id_217,71.2697039263
id_218,29.5737638348
id_219,19.0645150685
id_220,30.3729084351
id_221,58.2739512436
id_222,26.991436191
id_223,37.7625758502
id_224,41.9953688632
id_225,9.26049552167
id_226,3.36258780865
id_227,81.814028729
id_228,29.5623033524
id_229,1.83345312234
id_230,40.2558586466
id_231,15.2896298323
id_232,21.8263937819
id_233,7.60284609131
id_234,13.0018783312
id_235,23.6830313464
id_236,13.316345531
id_237,3.38683258104
id_238,20.6475395631
id_239,9.86631731638
